word,definitions,
නඩුභ්‍රංශනීය,barratrous,
මිතප්‍රයෝගය,allelotrope,
වංචිත,defrauded,
ව්‍යායාම-නැති,sedentary,
​NOT-ද්වාරය,NOT,
මිකා,formica,
x-ලකුණ,circumfle,
ද්වෙෂ-කරනවා,bominate,
16-පාදයේ-සංඛ්‍යා,hexadecimal,
2-ගස,2-tree,
dict.cn,ensitip-group,
EXOR-ද්වාරය,EXOR,
E-ග්‍රහයා,s-plane,
E-තලය,s-plane,
Google-නම්-සෙවුම්-යන්ත්‍රය,google,
H-වානේ,H-steel,
NOR-ද්වාරය,NOR,
N-කපාටය,N-value,
O-මුදුව,O-ring,
pn-සන්ධිය,pn-junction,
Si,En,
ඉතා-දක්ෂ-කථිකයා,spell,
s-විෂය,s-domain,
T-තරංගය,T-beam,
V-හැඩති-පටිය,V-belt,
XY-ලකුණු-කරනය,XYplotter,
X-අක්ෂය,x-axis,
X-කැපුම,V-cutting,
X-කිරණ,X-rays,
Y-අක්ෂය,y-axis,
z-පරිණාමනය,"z-transform,z-transform",
අ-සි-ලි,a.l.s.,
අං,horn,
අං-ඇති,horned,
අං-කොට-සතා,pollard,
අං-දළුව,tine,
අං-නැති,acerous,
අංක,digital,
අංක-ගණිත,"arithmetical,arithmetieal",
අංක-ගණිතය,"arithmatic,arithmetic",
අංක-පෙත්ත,"tally,teller",
අංක-මුහුණත,dial,
අංක-මූණත,dial,
අංක-යෙදීම,numbering,
අංක-යෙදීමටත්-කලින්-තබන-ඔට්ටුව,antepost,
අංක-යොදනවා,number,
අංක-විද්‍යාව,arithmetic,
අංක-ශෝධනය,calibration,
අංක-ශෝධනය-කරනවා,calibrate,
අංක-ශෝධිත,calibrated,
අංකගණිත-තර්ක-ඒකකය,alu,
අංකගණිතය,arithmetic,
අංකනය,"brand,markings,notation",
අංකමය,arithmetic,
අංකමූණත,dial,
අංකය,"act,cipher,cypher,degree,digit,dig,figure,item,mark,number,numeral,point",
අංකශෝධනය-කරනවා,calibrate,
අංකාන්තරය,"entracte,inter-act,interlude",
අංකිත,"graduated,numbered",
අංකුට්ටා,catfish,
අංකුටය,barbel,
අංකුර,nascent,
අංකුර-දලුව,acrospire,
අංකුර-බද්ධය,"budding,budgrafting",
අංකුර-වැම,budding,
අංකුරනය,"budding,pullulation",
අංකුරය,"bud,germ,offshoot,scion,shoot,sprout",
අංකුශය,hook,
අංකුශිකාධර,barbellate,
අංකුසය,goad,
අංග,"elements,slimatic",
අංග-ඡේදනය,quartering,
අංග-ඡේදනය-කරනවා,mutilate,
අංග-මාරය,blight,
අංග-රාග,make-up,
අංග-විකල,"crippled,deformed,handicapped",
අංග-සම,congruent,
අංග-සම්පූර්ණ-ගොවිපොළ,farm,
අංග-සහිත,organ,
අංග-සාම්‍යය,congruency,
අංගච්ඡෙදනය,amputation,
අංගච්ඡේදය,mutilation,
අංගචලනය,motion,
අංගඡේදනය,amputation,
අංගඡේදනය-කරනවා,mutilate,
අංගඡේදය,mutilation,
අංගජනක,organogenetic,
අංගජනනය,"organogenesis,organogeny",
අංගණ-භීතිකාව,agoraphobia,
අංගණභීතිකාව,agoraphobia,
අංගණය,"compound,court,courtyard",
අංගදාභරණය,arm-let,
අංගන-භීතිකාව,"agoraphobia,agraphobia",
අංගනය,"compound,yard",
අංගමාරය,blight,
අංගය,"aspect,body,branch,component,element,feature,ingredient,limb,member,organ,part",
අංගරකාව,"banyan,doublet",
අංගරාග,"cosmetic,cosmetics",
අංගරිය,angary,
අංගවස්ත්‍රය,shirt,
අංගවිකල-බවට-පමුණුවනවා,maim,
අංගවික්ෂේපය,gesticulation,
අංගවිකෘතිය,"apoplexy,deformity",
අංගසම,"congruent,congruous",
අංගසමතාව,"congruence,congruency",
අංගසාම්‍යතාව,congruity,
අංගසාම්‍යය,"congruency,congruity",
අංගාණිය,shambles,
අංගාර,"carbon,chark,charcoal,embers",
අංගාර-නිෂ්පාදන,carboniferous,
අංගාර-මිශ්‍රණය,carbonate,
අංගාර-මිශ්‍රිත,"carbonaceous,carbonic",
අංගාරකරණය,carbonization,
අංගාරධර,carboniferous,
අංගාරධාතුව,carbon,
අංගාරමය,carbonaceous,
අංගාරය,carbon,
අංගාරාමය,carbonaceous,
අංගීකාරය,confession,
අංගුල්‍යාකාර,digitate,
අංගුලි-ප්‍රමාණය,digit,
අංගුලි-පේනය,dactylomancy,
අංගුලි-මායාව,prestidigitation,
අංගුලිකා,digit,
අංගුෂ්ටක්ධල්ලකි,castanet,
අංගෝපාංග-නොසැපයුන,unfitted,
අංජනම,"collyrium,ointment",
අංජලිකාව,fourchette,
අංතට්ටුව,antler,
අංවලින්-අනිනවා,butt,
අංවලින්-පහර-දෙනවා,butt,
අංශ,sectional,
අංශ-දාමය,side-chain,
අංශ-පෙනුම,end-elevation,
අංශ-බහුල,multilateral,
අංශ-රේගලය,stile,
අංශ-ශෝධනය-කරනවා,calibrate,
අංශක-එකසිය-විස්සක-දුර,trine,
අංශකය,degree,
අංශබාග-රෝගය-වැළඳුණු,paralytic,
අංශබාග-රෝගියා,paralytic,
අංශබාගය,paralysis,
අංශභාගය,"palsy,paralysis",
අංශය,"aspect,compartment,degree,department,division,flank,fragment,numerator,phase,portion,section,sector,share,side,unit",
අංශයෙහි-පිහිටා-තිබෙනවා,flank,
අංශවත්‍රය,profile,
අංශාධිපතියා,lord,
අංශීකරණය,departmentalization,
අංශු-මාලාව,halo,
අංශුමය,"particulate,particulates",
අංශුමාත්‍රය,"element,ray,trace",
අංශුව,speck,
අංස-කූටය,acromion,
අංසකූටය,acromion,
අංසාණිය,acromion,
අක්,extremities,
අක්-කපනය,cropper,
අක්-කරාමය,tap,
අක්-කැපීම,cropping,
අක්-වෙරළ,offshore,
අක්කඩ,stub,
අක්කර-ගණන,acreage,
අක්කර-ප්‍රමාණය,acreage,
අක්කරය,acre,
අක්කරයෙන්-හතරෙන්-පංගුව,rood,
අක්කාරම,thrush,
අක්කොටය,stump,
අක්කොළ,endpaper,
අකටයුත්ත,injustice,
අකටයුතු,"improper,inactive,inoperative,unjust",
අකතනීතිකරය,non-feasance,
අක්තපත්‍රය,credentials,
අක්තය,warrant,
අක්දෙරිය,eaves,
අකපට,childlike,
අකපාලික,acephalous,
අකපාලික-භාවය,acephaly,
අක්පාව,toe,
අක්බඹුරු,curled,
අකම්ප,aseismic,
අක්මාපේනය,hepatoscopy,
අක්මාව,liver,
අක්මාව-පිළිබඳ,hepatic,
අක්මාවේ-සෑදෙන-රෝගයක්,"cirrhosis,hepatitis",
අක්මාශාකය,liverwort,
අකමැත්ත-පෙන්වනවා,cold-shoulder,
අකමැත්තෙන්,involuntary,
අකමැති-වෙනවා,"disfavour,dislike",
අක්මුදල,imprest,
අක්මුල්-නැති,interminable,
අකර,axle,
අකරතැබ්බය,"dilemma,injustice,mishap,predicament,snag,stew",
අකර්තෘකවාදය,impersonalism,
අක්‍රම,irregular,
අකර්මක,"inactive,inoperative,intransitive",
අකර්මණ්‍ය,"idle,inactive,indolent,passive",
අකර්මන්‍ය,passive,
අකර්මන්‍යතාව,passivity,
අක්‍රමය,disorder,
අක්‍රමවත්,"asynatactic,casual,irregular,non-systematic,scrappy,unsystematic",
අක්‍රමික,"anomalous,desultory,irregular",
අක්‍රමිකතා,irregularities,
අක්‍රමිකතාව,"anomaly,irregularity,lrregularity",
අකරිඩාවා,acarus,
අකරිඩාවෝ,acari,
අක්‍රිය,"dormant,idle,inactive,passive,resting",
අක්‍රියතාව,"inaction,passivity",
අකරුණාව,"cruelty,unkindness",
අකරුණාවන්ත,unkind,
අක්‍රොශ-කරනවා,abuse,
අක්‍රොශකාරී,abusive,
අක්‍රොශය,vituperation,
අක්‍රෝධ,dispassionate,
අක්‍රෝශය,ban,
අකල්,"premature,untimely",
අකලංක,spotless,
අකලංක-සැපත,blessedness,
අක්ලකර,paraph,
අකලට-පැසීම,precocity,
අකල්පනාවෙන්-යුත්,distrait,
අකල්‍ය,"mobid,morbid",
අක්වට,dial,
අක්වටනවා,dial,
අක්වටය,dial,
අක්වාටින්ට්,aquatint,
අක්වාරෙල්,aquarelle,
අක්වැටුම,dialling,
අක්ෂ,"axial,axile",
අක්ෂ-රේඛාව,axis,
අක්ෂකාස්ථිය,clavicle,
අක්ෂදණ්ඩ,axle,
අක්ෂධූර්තයා,gambler,
අක්ෂබන්ධය,concaulescence,
අක්ෂමතාව,"inadequecy,incompetency",
අක්ෂමිතිය,axonometry,
අක්ෂය,"axis,die,imperishable,latitude,pawn,permanent",
අක්ෂය-පිළිබඳ-වූ,axis,
අක්ෂයෙන්-එහා,abaxial,
අක්ෂර,character,
අක්ෂර-ප්‍රභේද-කිරීම,syllabification,
අක්ෂර-පරිවර්තනය,transliteration,
අක්ෂර-පරිවර්තනය-කරනවා,transliterate,
අක්ෂර-බන්ධනය,acrostic,
අක්ෂර-වින්‍යාසය,"orthography,spelling",
අක්ෂර-විපර්යාසය,metathesis,
අක්ෂර-සංඛ්‍යා,alphanumeric,
අක්ෂර-සම්බන්ධී,syllabic,
අක්ෂර-සමූහය,syllabary,
අක්ෂර-සහිත,articulate,
අක්ෂරමාලාව,"alphabet,script",
අක්ෂරය,"letter,syllable",
අක්ෂරවින්‍යාසය,spelling,
අක්ෂරවින්‍යාසය-පිළිබඳ-තරඟය,spelling-bee,
අක්ෂරසංකරය,monogram,
අක්ෂරාංක,alphanumeric,
අක්ෂස්ථිය,axis,
අක්ෂාංශ,latitude,
අක්ෂාංශකය,latitude,
අක්ෂාංශකවාදය,latitudinarianism,
අක්ෂාංශය,"lattitude,latitude",
අක්ෂි-ගෝලය,eye-ball,
අක්ෂි-ඡේදනය,ophthalmotomy,
අක්ෂි-ලපය,eye-spot,
අක්ෂි-විද්‍යාව,ophthalmology,
අක්ෂිගෝල-ඡේදනය,ophthalmotomy,
අක්ෂිගෝලය,eye-ball,
අක්ෂිධාරා,tears,
අක්ෂිපක්ෂ්ම,cilia,
අක්ෂිපක්ෂ්මය,eye-lash,
අක්ෂිපටලය,"conjunctiva,conjunctive",
අක්ෂිරූපනය,augen,
අක්ෂිවිද්‍යාව,opthalmology,
අක්ෂිවෛද්‍යයා,oculist,
අක්ෂීය,"axis,ocular,ocular",
අක්ෂුධාව,anoroxia,
අකස,mortgage,
අක්සනය,axon,
අක්සෙනය,eave,
අකාබනික,"anorganic,chemically,inorganic",
අකාරණේ,unjustly,
අකාර්ම්‍ය,inoperative,
අකාර්යක්ෂම,"bookish,doctrinaire",
අකාරයා,drunkard,
අකාරාදිකරණය,alphabetising,
අකාරාදිය,"alphabet,dictionary,glosary,lexicon",
අකාරුණ්‍ය,pitiless,
අකාරුණික,"cavalier,merciless,unkind,unkindful",
අකාල,"premature,unseasonable,untimely",
අකාලපුෂ්පනය,proanthesis,
අකාලයෙහි-පැසුණු,premature,
අකාලයේ,"unseasonally,untimely",
අකාලික,"immediate,iternal,timeless,unseasonal,untime",
අකැප,unclean,
අකැමැත්ත,aversion,
අකැමැති,"averse,reluctant",
අකිංකර,insubordinate,
අකිංකරණය,insubordination,
අකිංකරතාව,insubordination,
අකිංචනය,nothingness,
අකිය,inactive,
අකිළෙනවා,shrink,
අකීකරු,"contumacious,contumelious,disobedient,insubordinate,naughty,refractory,wayside",
අකීකරු-තරුණිය,huzzy,
අකීකරු-වෙනවා,"defy,disobey",
අකීකරුකම,"disobedience,insubordination,recalcitrance",
අකුඇටය,"clavicle,collarbone",
අකුටිල,"honest,open-hearted,straight,upright",
අකුටිලභාවය,frankness,
අකුණ,"bolt,lightning,lightening,thunder,thunderbolt",
අකුණු-කුණාටුව,thunderstorm,
අකුණු-නිවාරකය,lightning-arrester,
අකුණු-පහර,thunder-bolt,
අකුණු-වලාව,thundercloud,
අකුණු-වළාකුල,thunder-clouds,
අකුණු-සන්නායකය,lightning-conductor,
අකුර,"character,letter,syllable",
අකුරට-වැඩ,work-to-rule,
අකුරු,letters,
අකුරු-අච්චුව,matrix,
අකුරු-අමුණන,composing,
අකුරු-අමුණන්නා,compositor,
අකුරු-අමුණනවා,compose,
අකුරු-කැට,chippings,
අකුරු-කොටනවා,engrave,
අකුරු-දත්,literate,
අකුරු-දැනීම,literacy,
අකුරු-නොකළ,illiterate,
අකුරු-නොදත්,illiterate,
අකුරු-නොදන්නා,illiterate,
අකුරු-නොදන්නාකම,illiteracy,
අකුරු-නොහැකියාව,illiteracy,
අකුරු-මුද්‍රණය,typography,
අකුරු-යෙදීම,lettering,
අකුරු-යෙදුම,lettering,
අකුරු-ලිවීම,"cheirograph,cheirography",
අකුරු-ලොප්-කිරීම,syncopation,
අකුරු-වරදවා-ලියනවා,misspell,
අකුරු-වෙනුවට-රූප-යොදා-ලිවීම,picture-writing,
අකුරු-හා-ඉලක්කම්-දෙවර්ගයම-අන්තර්ගත,alphanumeric,
අකුරු-හැකියාව,literacy,
අකුරුකළ,literate,
අකුරුතාව,literacy,
අකුරුනොදත්,illiterate,
අකුරුමැටි,till,
අකුරුවලින්-ලකුණු-කරනවා,letter,
අකුල,"brake,brush-wood,brushwood,bush,obstacle,scrub,tangle,thicket,undergrowth",
අකුල්-හෙළනවා,obstruct,
අකුලාපු-කඩදාසි-කූර,spill,
අකුව,collar-bone,
අකුශලය,demerit,
අකුෂේ,accoucheur,
අකුසල,sin,
අකුසල්,evil,
අකුසලය,"demerit,evil,sin",
අකුළන-ලද-මිටිය,roll,
අකුළනවා,"clasp,contract,fold,purse,roll",
අකෘතඥ,"selfish,thankless,ungrateful",
අකෘත්‍රිම,natural,
අකෘතහස්ත,inexperienced,
අකේෂියා,acacia,
අකෛනීටය,akinete,
අකොටිල,acotyledonous,
අකොටිලය,acotyledon,
අකෝණික,agonic,
අඛණ්ඩ,"ceaseless,continual,continuous,integral,nonstop,unbroken",
අඛණ්ඩතාව,"continuity,continuum,soundness",
අඛර,benign,
අඛිල,"complete,entire",
අග,"apex,corner,culmination,end,extremity,last,point,supreme,tip,top",
අග-ගෙවී-ගිය,frayed,
අග-ගෙවී-යනවා,fray,
අග-සිට-මුලට,"back-ward,back-wards",
අග්ගිස්-කපනවා,"poll,top",
අග්ගිස්ස,"end,top",
අගණ්‍ය,"countless,innumberable",
අගත්ති-වර්ගයක්,onyx,
අගති-ඇති-කරන,prejudicial,
අගති-රහිත,"candid,tolerant",
අගති-විරහිත,unbiassed,
අගති-විරහිත-බව,disinterestedness,
අගති-සහිත,"biased,biassed,partial,tendentious,warped",
අගතිගත,prejudiced,
අගතිගාමී,"insular,prejudicial,unsporting",
අගතිගාමී-වෙනවා,bias,
අගතිය,"bias,perverseness,perversity,prejudice",
අගතියෙන්-තොර-නොවූ,interested,
අගද,"adtidote,medicine",
අගන්ති,agate,
අග්න්‍යාශදාහය,pancreatitis,
අග්න්‍යාශය,pancreas,
අගනා,"antidote,appreciable,enviable,precious,prize,valuable",
අගනා-බඩු-පිරවූ-මුහුදු-යාත්‍රාව,argosy,
අග්නි-විදයුතය,pyroelectricity,
අග්නිකර්මය,cauterization,
අග්නිකාරක,"appertising,appertizing,appetizing",
අග්නිජ,plutonic,
අග්නිජාලාව,"blaze,flame",
අග්නිධරය,pyrophore,
අග්නිමාණික්‍යය,opal,
අග්නිමානය,pyrometer,
අග්නිමිතික,pyrometric,
අග්නිමිතිය,pyrometry,
අග්නිය,appetite,
අග්නිරහිත-දීප්තිය,phosphorescence,
අග්නිහේළිමානය,pyrheliometer,
අග්නිහෝමය,"holocaust,lgnicolism",
අගනුවර,"metropolis,valuable",
අගපත්-වෙනවා,culminate,
අගම්,nomadic,
අගම්-නිධිය,placer,
අගම්ගල්,erratics,
අගම්‍ය,illicit,
අගම්‍යෝගය,xenogamy,
අගමැති,"precious,premier",
අගමෙහෙසිය,"consort,queen",
අගය,"price,value,lvalue",
අගය-අඩු-කරනවා,derogate,
අගය-අඩු-වීම,depreciation,
අගය-අඩුකිරීම,depreciation,
අගය-අඩුවීම,"depreciation,derogation",
අගය-කරනවා,"admire,adore,assess",
අගය-කළ,valued,
අගය-කළ-හැකි,appreciable,
අගය-කිරිම,valuation,
අගය-කිරීම,"account,admiration,appreciation,assessment,valuation",
අගය-තේරුම්-ගන්නවා,appreciate,
අගය-තේරුම්-ගැනීම,appreciation,
අගය-නොකළැකි,inestimable,
අගය-බහින,depreciating,
අගය-බහිනවා,depreciate,
අගය-බැස්ම,depreciation,
අගය-වැඩි-වීම,appreciation,
අගය-වැඩිවීම,appreciation,
අගය-සෙවීම,evaluation,
අගය-සොයනවා,evaluate,
අගයක්-නැති,cheap,
අගයක්ෂය,"depreciating,depreciation",
අගයනවා,"appraise,evaluate",
අගයෙන්-වැඩිවීම,appreciation,
අග්‍ර,"ardent,chief,first,foremost,main,noble,premier,prime,terminal,top",
අග්‍ර-බිෂොප්-තුමාට-යටත්-ප්‍රදේශය,archdiocese,
අග්‍ර-රාජගුරු-ප්‍රසාදී-තුමා-ගේ-පදවිය,archbishop,
අග්‍ර-රාජගුරු-ප්‍රසාදී-තුමාට-අයිති-ප්‍රදේශය,archbishop,
අග්‍ර-විනිශ්චයකාර,chiefdom,
අග්‍රක-ධ්වනිය,acrophony,
අග්‍රක-නාමය,acronym,
අග්‍රක-ලිපිය,acrography,
අග්‍රකය,apicula,
අග්‍රකෘතිය,masterpiece,
අග්‍රගණ්‍ය,"distinguished,foremost,highest",
අගරජ,emperor,
අග්‍රජන්‍ය,acrogenous,
අග්‍රජායාංගී,acrogynous,
අග්‍රජායාංගීතාව,acrogyny,
අග්‍රදූතයා,harbinger,
අග්‍රපාරවින්දනය,acroparesthesia,
අග්‍රපුමංගී,acrandrous,
අග්‍රපුමංගීතාව,acrandry,
අග්‍රඵලින,acrocarpous,
අග්‍රබාහුව,forearm,
අග්‍රය,"acme,climax,apex,end,point,terminal,top",
අග්‍රයෝගී,progamons,
අග්‍රරාජගුරු-ප්‍රසාදිතැන,primate,
අග්‍රවර්ධි,acrogenous,
අග්‍රශිලාව,acrolith,
අග්‍රස්ථ,"apical,dominant,terminal",
අග්‍රස්ථානය,"height,summit",
අග්‍රාඥතාව,acro-agnosis,
අග්‍රාණ්ඩුකාර-තුමා,governor-general,
අග්‍රාපසාරී,acrofugal,
අග්‍රාභිමුඛ,acroscopic,
අග්‍රාභිසාරි,acropetal,
අග්‍රාමාත්‍යය-තුමා,PM,
අග්‍රාමාත්‍යයා,premier,
අගරික්,agaric,
අග්‍රිමය,"forte,imprest",
අගරු,uncivil,
අගරු-කරනවා,dishonour,
අගරු-කළ,dishonoured,
අගරුව,"bounce,dishonour",
අග්‍රේෂයේ,primates,
අග්‍රේසරයා,forerunner,
අගල,"ditch,drain,drainage,dyke,gutter,moat,trench",
අගල්-කපනවා,trench,
අගල්-කැණිය,trencher,
අගල්-දිගේ-බැසයන-ජලය,surface-water,
අගල්වල-ලෑම,trenching,
අගලු,tailings,
අගවිනිසුරු,chiefdom,
අගවේශිත,unexplored,
අගස්ති,agate,
අගහිඟ-ඇති,lean,
අගහිඟකම,privation,
අගළ,"ditch,moat,trench",
අගාධ,"abyssal,bathybic,bottomless,deep,fathomless,plumbless,unfathomable",
අගාධ-මිතිය,bathymetry,
අගාධභීතිකාව,bathophobia,
අගාධමානය,bathymeter,
අගාධමිතික,bathymetrical,
අගාධය,"abysm,abyss,deep",
අගාධශාකය,benthophyte,
අගාධසාගරික,bathypelagic,
අගාපය,agape,
අගාරික,"lay,secular,worldly",
අගාලුව,"baulk,dumpling",
අගැයූ,valuer,
අගිල්,"aloe,myrrh",
අගිස්ස,"end,top",
අගුණ,"defective,faulty,inauspicious,unwholesome",
අගුණ-කියනවා,detract,
අගුල,"clicket,bolt,catch,latch,lock",
අගුල්-දමනවා,lock,
අගුල්-බෝලය,knob,
අගුල්-මුරුච්චිය,lock-nut,
අගුලු-අරිනවා,unbolt,
අගුලු-දිය-හානිය,lockage,
අගුලු-ලන-ලද,barred,
අගුලු-ලනවා,"bar,bolt",
අගුව,"compound,eave",
අගුළ,"fastener,fastening,lock",
අගුළු-මුරිච්චිය,locknut,
අගුළු-ලනවා,latch,
අගුළු-ලෑම,locking,
අගුළු-වැටෙනවා,lock,
අගුළු-හොරා,pick-lock,
අගූණ-කියනවා,asperse,
අගෙයි,bravo,
අගේ-අඩු-කරනවා,depreciate,
අගේ-අඩු-වෙනවා,depreciate,
අගේ-කළ-හැකි,estimable,
අගේ-කොට-දක්වන,"appreciative,appreciatory",
අගේ-කොට-සලකන,appreciatory,
අගේ-කොට-සලකනවා,value,
අගේ-කොට-සැලකීම,appreciation,
අගේ-නැති,common,
අගේ-නැති-දේ,trumpery,
අගේ-නැතිබව,trashiness,
අගේ-නොකළැකි,invaluable,
